Size, Seq, Par, Libc
0, 0.000000, 0.001316, 0.000001
0, 0.000000, 0.000641, 0.000001
0, 0.000000, 0.000585, 0.000002
0, 0.000000, 0.000554, 0.000001
0, 0.000001, 0.000575, 0.000001
10000, 0.005570, 0.104269, 0.005078
10000, 0.005679, 0.091167, 0.005077
10000, 0.005567, 0.091705, 0.005166
10000, 0.005840, 0.085615, 0.005062
10000, 0.005699, 0.099139, 0.005072
20000, 0.011657, 0.089135, 0.003931
20000, 0.002907, 0.023988, 0.002520
20000, 0.002680, 0.026435, 0.002517
20000, 0.002902, 0.031889, 0.002515
20000, 0.002680, 0.026416, 0.002515
30000, 0.004120, 0.023116, 0.003943
30000, 0.004374, 0.025256, 0.003945
30000, 0.016503, 0.036923, 0.004487
30000, 0.004342, 0.025057, 0.004148
30000, 0.004532, 0.027534, 0.004151
40000, 0.006212, 0.028616, 0.005790
40000, 0.006050, 0.027699, 0.005731
40000, 0.006134, 0.026802, 0.005730
40000, 0.006047, 0.029923, 0.005658
40000, 0.006126, 0.032908, 0.005795
50000, 0.007636, 0.029485, 0.007330
50000, 0.007626, 0.027729, 0.007262
50000, 0.007855, 0.027670, 0.007052
50000, 0.018589, 0.029851, 0.006864
50000, 0.007251, 0.027126, 0.006876
60000, 0.009263, 0.029287, 0.008446
60000, 0.026354, 0.030330, 0.008385
60000, 0.009450, 0.037162, 0.008415
60000, 0.031235, 0.036454, 0.008400
60000, 0.009458, 0.031405, 0.008377
70000, 0.010804, 0.031285, 0.010206
70000, 0.010578, 0.029539, 0.010003
70000, 0.010617, 0.036361, 0.009951
70000, 0.010569, 0.034930, 0.010107
70000, 0.010686, 0.030619, 0.009998
80000, 0.011997, 0.032351, 0.011547
80000, 0.012022, 0.032686, 0.011578
80000, 0.012102, 0.031401, 0.011450
80000, 0.012206, 0.030646, 0.011725
80000, 0.011998, 0.031885, 0.011838
90000, 0.013643, 0.033224, 0.013049
90000, 0.013686, 0.031754, 0.013149
90000, 0.013709, 0.033216, 0.013244
90000, 0.013630, 0.037832, 0.013033
90000, 0.013707, 0.033479, 0.013207
100000, 0.015240, 0.030317, 0.014614
100000, 0.022887, 0.029042, 0.014595
100000, 0.015362, 0.030709, 0.014683
100000, 0.015249, 0.028278, 0.014561
100000, 0.015525, 0.030919, 0.014684
110000, 0.017038, 0.031641, 0.016213
110000, 0.016960, 0.029225, 0.016354
110000, 0.016991, 0.033089, 0.016398
110000, 0.043632, 0.031729, 0.016298
110000, 0.016955, 0.030435, 0.016175
120000, 0.019257, 0.029714, 0.017906
120000, 0.019455, 0.031835, 0.018056
120000, 0.019325, 0.029638, 0.017807
120000, 0.019252, 0.027902, 0.017888
120000, 0.019219, 0.028755, 0.018039
130000, 0.020696, 0.037717, 0.019417
130000, 0.020699, 0.033383, 0.019511
130000, 0.021138, 0.032083, 0.019629
130000, 0.020951, 0.034807, 0.019632
130000, 0.020914, 0.034875, 0.019201
140000, 0.021382, 0.034431, 0.021328
140000, 0.021722, 0.032089, 0.021210
140000, 0.021753, 0.033954, 0.021222
140000, 0.021769, 0.035346, 0.021479
140000, 0.021783, 0.033863, 0.021148
150000, 0.024530, 0.033521, 0.022879
150000, 0.046991, 0.034956, 0.022806
150000, 0.024485, 0.030491, 0.022932
150000, 0.024933, 0.031749, 0.022725
150000, 0.024933, 0.034325, 0.022941
160000, 0.026194, 0.033098, 0.024691
160000, 0.025747, 0.034937, 0.024163
160000, 0.025817, 0.034343, 0.024219
160000, 0.025613, 0.032830, 0.024181
160000, 0.026067, 0.035932, 0.024442
170000, 0.027295, 0.040146, 0.026001
170000, 0.027393, 0.045960, 0.026259
170000, 0.027384, 0.042914, 0.026288
170000, 0.027896, 0.036944, 0.026240
170000, 0.027867, 0.035448, 0.025982
180000, 0.028182, 0.037314, 0.027828
180000, 0.047618, 0.036496, 0.027588
180000, 0.028136, 0.037917, 0.027517
180000, 0.047524, 0.038933, 0.027464
180000, 0.028668, 0.037720, 0.028048
190000, 0.053872, 0.036909, 0.029445
190000, 0.030824, 0.039226, 0.029667
190000, 0.030819, 0.039639, 0.028980
190000, 0.036506, 0.038725, 0.029375
190000, 0.030770, 0.039814, 0.029545
200000, 0.032564, 0.041264, 0.031107
200000, 0.032560, 0.039473, 0.030875
200000, 0.031971, 0.039131, 0.030477
200000, 0.031852, 0.050161, 0.030763
200000, 0.032455, 0.040130, 0.031234
210000, 0.034075, 0.037962, 0.032286
210000, 0.033945, 0.038281, 0.032341
210000, 0.033849, 0.039435, 0.032758
210000, 0.034604, 0.037550, 0.032258
210000, 0.050924, 0.037516, 0.032446
220000, 0.051278, 0.040390, 0.034100
220000, 0.035225, 0.043315, 0.034252
220000, 0.062963, 0.038199, 0.033493
220000, 0.061262, 0.039139, 0.033964
220000, 0.035374, 0.039035, 0.034116
230000, 0.037028, 0.044435, 0.035804
230000, 0.036860, 0.047825, 0.035929
230000, 0.036758, 0.040594, 0.035593
230000, 0.036647, 0.049675, 0.035882
230000, 0.037233, 0.042571, 0.035789
240000, 0.038590, 0.044711, 0.037219
240000, 0.038402, 0.045474, 0.037236
240000, 0.038445, 0.044921, 0.037484
240000, 0.038379, 0.047012, 0.037344
240000, 0.038436, 0.044609, 0.037127
250000, 0.040639, 0.051657, 0.039029
250000, 0.041336, 0.045842, 0.039426
250000, 0.041728, 0.046104, 0.038927
250000, 0.041148, 0.046136, 0.038988
250000, 0.041142, 0.043793, 0.038927
260000, 0.043049, 0.042695, 0.040487
260000, 0.042952, 0.040895, 0.040278
260000, 0.042968, 0.043405, 0.040438
260000, 0.042768, 0.049283, 0.041020
260000, 0.043382, 0.048634, 0.040499
270000, 0.045289, 0.058689, 0.042955
270000, 0.044829, 0.052632, 0.042857
270000, 0.045241, 0.050067, 0.042894
270000, 0.064688, 0.046720, 0.042389
270000, 0.044683, 0.052434, 0.042563
280000, 0.047163, 0.049745, 0.044168
280000, 0.047058, 0.048692, 0.044036
280000, 0.046967, 0.049165, 0.044211
280000, 0.046960, 0.048871, 0.043923
280000, 0.046676, 0.045329, 0.044131
290000, 0.047417, 0.052232, 0.045628
290000, 0.047634, 0.050371, 0.045586
290000, 0.047615, 0.049961, 0.045618
290000, 0.048172, 0.050402, 0.046084
290000, 0.048852, 0.053970, 0.045604
300000, 0.049823, 0.052241, 0.047441
300000, 0.050002, 0.053742, 0.047250
300000, 0.048958, 0.051468, 0.047381
300000, 0.049425, 0.053242, 0.047305
300000, 0.049116, 0.051269, 0.047058
310000, 0.050815, 0.052125, 0.049163
310000, 0.050720, 0.053533, 0.049255
310000, 0.050317, 0.054188, 0.049154
310000, 0.051984, 0.051131, 0.048909
310000, 0.052000, 0.051674, 0.050019
320000, 0.053194, 0.055101, 0.050892
320000, 0.052618, 0.055017, 0.050578
320000, 0.051624, 0.052708, 0.050718
320000, 0.052320, 0.052275, 0.050711
320000, 0.053054, 0.054994, 0.051243
330000, 0.055303, 0.056592, 0.052640
330000, 0.055160, 0.054393, 0.052354
330000, 0.053064, 0.055038, 0.052344
330000, 0.054276, 0.054925, 0.052238
330000, 0.054466, 0.058734, 0.051825
340000, 0.057821, 0.059938, 0.053818
340000, 0.057168, 0.058389, 0.054187
340000, 0.057114, 0.058043, 0.053979
340000, 0.057742, 0.061631, 0.055039
340000, 0.058454, 0.057842, 0.054141
350000, 0.059187, 0.059804, 0.055767
350000, 0.058870, 0.059150, 0.056345
350000, 0.059357, 0.057066, 0.056030
350000, 0.059135, 0.055737, 0.056698
350000, 0.060382, 0.059985, 0.055768
360000, 0.058435, 0.061499, 0.057608
360000, 0.059366, 0.061316, 0.057473
360000, 0.058172, 0.062587, 0.057601
360000, 0.059123, 0.062413, 0.057594
360000, 0.059245, 0.059871, 0.057346
370000, 0.062537, 0.061368, 0.058162
370000, 0.062381, 0.062592, 0.060207
370000, 0.062490, 0.060833, 0.059511
370000, 0.076255, 0.063119, 0.059088
370000, 0.062569, 0.060665, 0.059038
380000, 0.061787, 0.064396, 0.061050
380000, 0.061324, 0.063910, 0.060638
380000, 0.062689, 0.063415, 0.060437
380000, 0.061268, 0.065901, 0.060009
380000, 0.062309, 0.063126, 0.060814
390000, 0.066101, 0.063379, 0.062412
390000, 0.066238, 0.066674, 0.062886
390000, 0.065878, 0.063103, 0.062768
390000, 0.065982, 0.066602, 0.062450
390000, 0.065985, 0.062958, 0.062611
400000, 0.067569, 0.067363, 0.064305
400000, 0.066064, 0.066504, 0.063754
400000, 0.065792, 0.064990, 0.063710
400000, 0.066686, 0.066653, 0.064769
400000, 0.069181, 0.067011, 0.065671
410000, 0.069716, 0.070267, 0.066279
410000, 0.084814, 0.066178, 0.065186
410000, 0.068363, 0.065803, 0.066421
410000, 0.068665, 0.067407, 0.066110
410000, 0.068885, 0.065640, 0.066624
420000, 0.070351, 0.069214, 0.067700
420000, 0.070306, 0.068869, 0.067710
420000, 0.070589, 0.068813, 0.067649
420000, 0.071173, 0.072726, 0.067991
420000, 0.071010, 0.071660, 0.067390
430000, 0.070892, 0.074476, 0.069582
430000, 0.071958, 0.073660, 0.070056
430000, 0.071993, 0.074507, 0.068341
430000, 0.070431, 0.068473, 0.070631
430000, 0.072193, 0.068482, 0.069710
440000, 0.074130, 0.072285, 0.071416
440000, 0.072921, 0.071111, 0.071333
440000, 0.093769, 0.069139, 0.070862
440000, 0.074966, 0.067233, 0.072286
440000, 0.076037, 0.069185, 0.071326
450000, 0.075788, 0.071372, 0.072982
450000, 0.077247, 0.071034, 0.072835
450000, 0.078191, 0.072779, 0.072910
450000, 0.077072, 0.071922, 0.074203
450000, 0.078036, 0.072666, 0.072993
460000, 0.078542, 0.079679, 0.074048
