Size, Seq, Par, Libc
0, 0.000001, 0.000577, 0.000001
0, 0.000000, 0.000557, 0.000001
0, 0.000000, 0.000552, 0.000001
0, 0.000000, 0.000530, 0.000001
0, 0.000000, 0.000544, 0.000001
100000, 0.037494, 0.037738, 0.014684
100000, 0.015494, 0.044398, 0.014831
100000, 0.015500, 0.036811, 0.014626
100000, 0.015529, 0.035152, 0.014921
100000, 0.015471, 0.030086, 0.015895
200000, 0.032914, 0.041041, 0.031304
200000, 0.032731, 0.045287, 0.031094
200000, 0.032493, 0.039159, 0.030571
200000, 0.032714, 0.038615, 0.031232
200000, 0.038220, 0.039266, 0.031234
300000, 0.069180, 0.056194, 0.047290
300000, 0.048847, 0.056710, 0.047335
300000, 0.049047, 0.053449, 0.048120
300000, 0.049426, 0.049645, 0.047304
300000, 0.048730, 0.051757, 0.047232
400000, 0.066928, 0.063772, 0.064306
400000, 0.066270, 0.066108, 0.065398
400000, 0.066380, 0.062633, 0.064190
400000, 0.085948, 0.065320, 0.063352
400000, 0.066634, 0.063451, 0.064634
500000, 0.083714, 0.079248, 0.081131
500000, 0.084620, 0.078378, 0.081623
500000, 0.085854, 0.077882, 0.081713
500000, 0.085453, 0.078829, 0.081021
500000, 0.084683, 0.078735, 0.080275
600000, 0.102854, 0.092950, 0.100236
600000, 0.103313, 0.092319, 0.099175
600000, 0.103161, 0.094075, 0.098646
600000, 0.104221, 0.090272, 0.097889
600000, 0.105569, 0.092349, 0.099499
700000, 0.121985, 0.110360, 0.115227
700000, 0.122451, 0.106037, 0.116178
700000, 0.121272, 0.110894, 0.115206
700000, 0.121651, 0.108602, 0.115233
700000, 0.118952, 0.109176, 0.117852
800000, 0.143316, 0.124070, 0.132794
800000, 0.140109, 0.119886, 0.132655
800000, 0.137304, 0.121636, 0.133394
800000, 0.137167, 0.118017, 0.132825
800000, 0.142908, 0.116324, 0.134007
900000, 0.163136, 0.139117, 0.150870
900000, 0.160422, 0.135194, 0.150847
900000, 0.158573, 0.136388, 0.152027
900000, 0.161210, 0.133687, 0.150334
900000, 0.160574, 0.135399, 0.152934
1000000, 0.175633, 0.153589, 0.168623
1000000, 0.173791, 0.155230, 0.170427
1000000, 0.179464, 0.155721, 0.169301
1000000, 0.181922, 0.153668, 0.168732
1000000, 0.174830, 0.152791, 0.168993
