Size, Seq, Par, Libc
90000, 0.013768, 0.029950, 0.013136
100000, 0.015711, 0.034228, 0.014795
0, 0.000000, 0.000185, 0.000000
10000, 0.001269, 0.023496, 0.001171
20000, 0.002691, 0.020563, 0.002527
30000, 0.004245, 0.018251, 0.003947
40000, 0.005674, 0.030016, 0.005382
50000, 0.026667, 0.039291, 0.006975
60000, 0.009155, 0.032209, 0.008584
70000, 0.010752, 0.025976, 0.009937
80000, 0.013066, 0.035400, 0.011501
90000, 0.014024, 0.034788, 0.013173
100000, 0.015151, 0.033067, 0.014613
0, 0.000000, 0.000181, 0.000001
10000, 0.001260, 0.023914, 0.001169
20000, 0.012541, 0.088686, 0.004690
30000, 0.006624, 0.048505, 0.006130
40000, 0.008823, 0.043522, 0.008394
50000, 0.025968, 0.039435, 0.007413
60000, 0.009677, 0.025097, 0.008588
70000, 0.010748, 0.031066, 0.010053
80000, 0.012071, 0.021781, 0.011568
90000, 0.013768, 0.028495, 0.013064
100000, 0.015151, 0.031675, 0.014735
0, 0.000000, 0.000182, 0.000001
10000, 0.001269, 0.024879, 0.001180
20000, 0.002723, 0.026370, 0.002519
30000, 0.004276, 0.027914, 0.003961
40000, 0.005700, 0.028502, 0.005446
50000, 0.007529, 0.027899, 0.006953
60000, 0.008981, 0.029858, 0.008397
70000, 0.010582, 0.027755, 0.010012
80000, 0.012533, 0.023072, 0.011464
90000, 0.013973, 0.033559, 0.013324
100000, 0.015893, 0.028826, 0.015029
0, 0.000000, 0.000183, 0.000000
10000, 0.001285, 0.023271, 0.001177
20000, 0.002699, 0.036281, 0.002542
30000, 0.004456, 0.030953, 0.003936
40000, 0.005682, 0.023662, 0.005710
50000, 0.030122, 0.040149, 0.007361
60000, 0.009476, 0.027136, 0.008720
70000, 0.010727, 0.034377, 0.010050
80000, 0.012587, 0.024672, 0.011508
90000, 0.013951, 0.036786, 0.013271
100000, 0.026171, 0.032079, 0.014687
0, 0.000000, 0.000178, 0.000000
10000, 0.001299, 0.017217, 0.001207
20000, 0.013118, 0.080006, 0.004051
30000, 0.006558, 0.043889, 0.006344
40000, 0.009117, 0.045044, 0.008601
50000, 0.011310, 0.037367, 0.007230
60000, 0.009540, 0.030751, 0.008574
70000, 0.010681, 0.034970, 0.010112
80000, 0.012051, 0.035547, 0.011644
90000, 0.013888, 0.033598, 0.013060
100000, 0.025619, 0.033796, 0.014570
0, 0.000000, 0.000160, 0.000001
10000, 0.001381, 0.018938, 0.001181
20000, 0.002849, 0.026045, 0.002830
30000, 0.004208, 0.028917, 0.003952
40000, 0.006059, 0.025993, 0.005399
50000, 0.007451, 0.031842, 0.006856
60000, 0.008947, 0.030784, 0.008570
70000, 0.010799, 0.028454, 0.009946
80000, 0.012506, 0.028586, 0.011456
90000, 0.013645, 0.032409, 0.013344
100000, 0.015265, 0.027069, 0.014833
0, 0.000000, 0.000178, 0.000000
10000, 0.001228, 0.024610, 0.001168
20000, 0.002868, 0.027607, 0.002526
30000, 0.004244, 0.025248, 0.003947
40000, 0.005751, 0.029131, 0.005417
50000, 0.007433, 0.024001, 0.006908
60000, 0.020401, 0.030339, 0.008442
70000, 0.010712, 0.029493, 0.009941
80000, 0.012594, 0.033334, 0.011687
90000, 0.013654, 0.030639, 0.013269
100000, 0.015271, 0.028986, 0.014738
0, 0.000000, 0.000178, 0.000000
10000, 0.001243, 0.025235, 0.001176
20000, 0.002866, 0.024936, 0.002529
30000, 0.004451, 0.028239, 0.003946
40000, 0.005594, 0.032462, 0.005370
50000, 0.026297, 0.036284, 0.006924
60000, 0.009067, 0.026792, 0.008397
70000, 0.010725, 0.030596, 0.010049
80000, 0.012183, 0.035075, 0.011622
90000, 0.038268, 0.036154, 0.013230
100000, 0.015632, 0.035197, 0.014791
0, 0.000000, 0.000478, 0.000001
10000, 0.004100, 0.101270, 0.003809
20000, 0.008796, 0.078739, 0.008178
30000, 0.013152, 0.035481, 0.005693
40000, 0.007134, 0.037290, 0.005825
50000, 0.007848, 0.035823, 0.007553
60000, 0.010052, 0.030410, 0.008825
70000, 0.010515, 0.032305, 0.009970
80000, 0.012171, 0.032549, 0.011441
90000, 0.014111, 0.035319, 0.013236
100000, 0.015242, 0.027590, 0.014634
0, 0.000000, 0.000161, 0.000001
10000, 0.001229, 0.022872, 0.001170
20000, 0.002684, 0.025654, 0.002526
30000, 0.004197, 0.019925, 0.003927
40000, 0.005724, 0.032546, 0.005566
50000, 0.007567, 0.031818, 0.006888
