Size, Seq, Par, Libc
0, 0.000000, 0.000582, 0.000001
0, 0.000000, 0.000558, 0.000001
0, 0.000001, 0.000539, 0.000001
0, 0.000000, 0.000536, 0.000001
0, 0.000001, 0.000575, 0.000001
100000, 0.038920, 0.036906, 0.014907
100000, 0.015655, 0.034558, 0.014761
100000, 0.015677, 0.034374, 0.014945
100000, 0.015748, 0.032906, 0.014701
100000, 0.015709, 0.032492, 0.014603
200000, 0.033136, 0.039995, 0.031109
200000, 0.032923, 0.040134, 0.031084
200000, 0.032498, 0.041507, 0.031017
200000, 0.032546, 0.039979, 0.030872
200000, 0.031798, 0.037299, 0.030569
300000, 0.050136, 0.050619, 0.047279
300000, 0.049776, 0.051419, 0.047240
300000, 0.050440, 0.050035, 0.047378
300000, 0.050261, 0.049046, 0.048041
300000, 0.050267, 0.054035, 0.047008
400000, 0.067211, 0.066635, 0.063959
400000, 0.066195, 0.069703, 0.064165
400000, 0.067063, 0.068867, 0.064050
400000, 0.067138, 0.069388, 0.064187
400000, 0.069018, 0.067447, 0.065382
500000, 0.087127, 0.079958, 0.081100
500000, 0.086773, 0.079204, 0.081159
500000, 0.086270, 0.077858, 0.081987
500000, 0.085184, 0.077609, 0.080779
500000, 0.083714, 0.078006, 0.081174
600000, 0.101714, 0.093828, 0.097552
600000, 0.100732, 0.093277, 0.098254
600000, 0.101280, 0.094805, 0.098445
600000, 0.102765, 0.097549, 0.097608
600000, 0.103408, 0.094435, 0.098273
700000, 0.123440, 0.110631, 0.116102
700000, 0.122443, 0.108974, 0.114967
700000, 0.120338, 0.111178, 0.116190
700000, 0.120475, 0.111177, 0.115403
700000, 0.120073, 0.109056, 0.115265
800000, 0.137954, 0.120453, 0.135480
800000, 0.139752, 0.116471, 0.133073
800000, 0.139618, 0.120386, 0.133233
800000, 0.149701, 0.121842, 0.135364
800000, 0.139215, 0.121047, 0.133215
900000, 0.158479, 0.132707, 0.152014
900000, 0.160136, 0.136338, 0.150587
900000, 0.157432, 0.138264, 0.151167
900000, 0.158940, 0.139908, 0.152186
900000, 0.155580, 0.139172, 0.151239
1000000, 0.183443, 0.150086, 0.168710
1000000, 0.176791, 0.151517, 0.169047
1000000, 0.176802, 0.150065, 0.168942
1000000, 0.176585, 0.157011, 0.169954
1000000, 0.179300, 0.156928, 0.168567
1100000, 0.197348, 0.162943, 0.187046
1100000, 0.197096, 0.167572, 0.186601
1100000, 0.193605, 0.159935, 0.191710
1100000, 0.194027, 0.161115, 0.187622
1100000, 0.194867, 0.167874, 0.187141
1200000, 0.214092, 0.176626, 0.206712
1200000, 0.216910, 0.180417, 0.206502
1200000, 0.212972, 0.173019, 0.206819
1200000, 0.213688, 0.176068, 0.205624
1200000, 0.213039, 0.170776, 0.204993
1300000, 0.230850, 0.196197, 0.226216
1300000, 0.229545, 0.196837, 0.223274
1300000, 0.236414, 0.195107, 0.227066
1300000, 0.233074, 0.188803, 0.223037
1300000, 0.237358, 0.202706, 0.222787
1400000, 0.255670, 0.210438, 0.244996
1400000, 0.255752, 0.204181, 0.242632
1400000, 0.255660, 0.198642, 0.242051
1400000, 0.255499, 0.201711, 0.242203
1400000, 0.252341, 0.205455, 0.242501
1500000, 0.275725, 0.212938, 0.259558
1500000, 0.275303, 0.223622, 0.260431
1500000, 0.271100, 0.226884, 0.260502
1500000, 0.282521, 0.225941, 0.265060
1500000, 0.269920, 0.220827, 0.260921
1600000, 0.290505, 0.239198, 0.281081
1600000, 0.291333, 0.229873, 0.280624
1600000, 0.291354, 0.234208, 0.279155
1600000, 0.290219, 0.238404, 0.281753
1600000, 0.297369, 0.233762, 0.278890
1700000, 0.310728, 0.237532, 0.300423
1700000, 0.316793, 0.252014, 0.302004
1700000, 0.309499, 0.247782, 0.300902
1700000, 0.309017, 0.250583, 0.301656
1700000, 0.309111, 0.242598, 0.297874
1800000, 0.335240, 0.263268, 0.320043
1800000, 0.337083, 0.260995, 0.318212
1800000, 0.327193, 0.261717, 0.318329
1800000, 0.338488, 0.274680, 0.318606
1800000, 0.332175, 0.267018, 0.317273
1900000, 0.356444, 0.270158, 0.338850
1900000, 0.349847, 0.265616, 0.335436
1900000, 0.352811, 0.269106, 0.335715
1900000, 0.356200, 0.275596, 0.336011
1900000, 0.350518, 0.285515, 0.335358
2000000, 0.377140, 0.297561, 0.356371
2000000, 0.365498, 0.288853, 0.354695
2000000, 0.367628, 0.306689, 0.354990
2000000, 0.376277, 0.283119, 0.354518
2000000, 0.373241, 0.301991, 0.353781
