Size, Seq, Par, Libc
0, 0.000000, 0.000465, 0.000000
0, 0.000000, 0.000462, 0.000000
0, 0.000000, 0.000793, 0.000000
0, 0.000000, 0.000532, 0.000000
0, 0.000000, 0.001879, 0.000000
100000, 0.015154, 0.806636, 0.013444
100000, 0.019091, 0.702258, 0.014664
100000, 0.015877, 0.800745, 0.015766
100000, 0.016150, 0.882472, 0.013227
100000, 0.015921, 0.705056, 0.017205
200000, 0.034510, 0.949348, 0.029623
200000, 0.031322, 0.966503, 0.028246
200000, 0.037875, 0.747646, 0.027986
200000, 0.035389, 0.802717, 0.031049
200000, 0.036179, 0.994412, 0.028063
300000, 0.056916, 1.054919, 0.042382
300000, 0.048663, 0.922017, 0.039603
300000, 0.047929, 0.886822, 0.041399
300000, 0.052582, 1.100863, 0.042638
300000, 0.051732, 0.956617, 0.044544
400000, 0.068102, 0.828875, 0.056238
400000, 0.063852, 1.066632, 0.061380
400000, 0.086180, 0.832542, 0.060332
400000, 0.067547, 0.961942, 0.055932
400000, 0.070644, 1.056260, 0.060877
500000, 0.093871, 0.860179, 0.078914
500000, 0.089214, 1.186535, 0.073556
500000, 0.093445, 1.308699, 0.079959
500000, 0.092197, 0.812888, 0.073578
500000, 0.086338, 0.875054, 0.078598
600000, 0.106939, 0.985674, 0.094261
600000, 0.102464, 0.829042, 0.089097
600000, 0.103695, 0.692449, 0.085058
600000, 0.106441, 0.806979, 0.092286
600000, 0.109051, 0.938982, 0.086978
700000, 0.129742, 0.943441, 0.107148
700000, 0.119773, 0.768284, 0.102815
700000, 0.115868, 0.828945, 0.103755
700000, 0.129008, 0.813724, 0.109314
700000, 0.118992, 1.108347, 0.105576
800000, 0.144819, 0.850394, 0.127177
800000, 0.151771, 0.777636, 0.125710
800000, 0.145828, 0.825612, 0.123684
800000, 0.145681, 0.792472, 0.128543
800000, 0.150816, 1.012066, 0.119905
900000, 0.196576, 1.052557, 0.137132
900000, 0.174281, 0.986791, 0.149022
900000, 0.156274, 0.840784, 0.143447
900000, 0.153776, 0.838593, 0.135063
900000, 0.163111, 0.879432, 0.142929
1000000, 0.189982, 1.331168, 0.161920
1000000, 0.182801, 1.214457, 0.159018
1000000, 0.184505, 0.889731, 0.163095
1000000, 0.191891, 0.895816, 0.167010
1000000, 0.193000, 0.837999, 0.166488
1100000, 0.188279, 0.875116, 0.181530
1100000, 0.211491, 0.780050, 0.180903
1100000, 0.208703, 0.850700, 0.179469
1100000, 0.195207, 0.867834, 0.170935
1100000, 0.192081, 0.816670, 0.174696
1200000, 0.223085, 1.024155, 0.197295
1200000, 0.234238, 1.253887, 0.194377
1200000, 0.210963, 1.048686, 0.193045
1200000, 0.218288, 0.852324, 0.193415
1200000, 0.218912, 0.823093, 0.194318
1300000, 0.244233, 0.733942, 0.208488
1300000, 0.231585, 0.797323, 0.207345
1300000, 0.255760, 0.799314, 0.204662
1300000, 0.239287, 0.801322, 0.243776
1300000, 0.251674, 0.677207, 0.282812
1400000, 0.352241, 1.617188, 0.272667
1400000, 0.247996, 1.059967, 0.285459
1400000, 0.285722, 0.866665, 0.228730
1400000, 0.255828, 0.873611, 0.231616
1400000, 0.261722, 1.031394, 0.214129
1500000, 0.286058, 0.838693, 0.247195
1500000, 0.259972, 1.015905, 0.244606
1500000, 0.288874, 0.912365, 0.248080
1500000, 0.280827, 1.012890, 0.250979
1500000, 0.295202, 0.885984, 0.246190
1600000, 0.304278, 0.815065, 0.382098
1600000, 0.346804, 0.937221, 0.265492
1600000, 0.303110, 0.871082, 0.260405
1600000, 0.318550, 0.998750, 0.263328
1600000, 0.291171, 0.888274, 0.244444
1700000, 0.308385, 0.994406, 0.292059
1700000, 0.341221, 0.940733, 0.282346
1700000, 0.340430, 0.844428, 0.283014
1700000, 0.322247, 1.054613, 0.282613
1700000, 0.325225, 0.907709, 0.286981
1800000, 0.347835, 1.071257, 0.326789
1800000, 0.340601, 0.967374, 0.304722
1800000, 0.340833, 1.095681, 0.302516
1800000, 0.338775, 0.991743, 0.299128
1800000, 0.327454, 1.105686, 0.285443
1900000, 0.367074, 0.851414, 0.319162
1900000, 0.362876, 1.000733, 0.322129
1900000, 0.393836, 0.878276, 0.329269
1900000, 0.363767, 0.830624, 0.324310
1900000, 0.366969, 1.080947, 0.360922
2000000, 0.433889, 1.069333, 0.329455
2000000, 0.435926, 1.304493, 0.401504
2000000, 0.428104, 1.215968, 0.402734
2000000, 0.507109, 0.849203, 0.343743
2000000, 0.392714, 0.773875, 0.344579
2100000, 0.407110, 1.018808, 0.356595
2100000, 0.411613, 0.906949, 0.359188
2100000, 0.404043, 0.889857, 0.355689
2100000, 0.409880, 0.867030, 0.357312
2100000, 0.394631, 0.851999, 0.333292
2200000, 0.447100, 1.001773, 0.370395
2200000, 0.426405, 0.836989, 0.349543
2200000, 0.446282, 0.819494, 0.377223
2200000, 0.420272, 0.847763, 0.378386
2200000, 0.418649, 0.891528, 0.366610
2300000, 0.426249, 1.023412, 0.366165
2300000, 0.468307, 0.958745, 0.390016
2300000, 0.444471, 0.968866, 0.426242
2300000, 0.450828, 0.923020, 0.405141
2300000, 0.446258, 1.044402, 0.400548
2400000, 0.473776, 0.815816, 0.408155
2400000, 0.475706, 0.933102, 0.405945
2400000, 0.455729, 0.810287, 0.409399
2400000, 0.441193, 0.945480, 0.409003
2400000, 0.476859, 1.092678, 0.418101
2500000, 0.469839, 0.847415, 0.429205
2500000, 0.472852, 0.895551, 0.440896
2500000, 0.495781, 0.869338, 0.405770
2500000, 0.469178, 1.026209, 0.404108
2500000, 0.509657, 0.880288, 0.424419
2600000, 0.491355, 0.894497, 0.454718
2600000, 0.506963, 0.835139, 0.443556
2600000, 0.486662, 0.987990, 0.454598
2600000, 0.510301, 0.802276, 0.452196
2600000, 0.507813, 1.011287, 0.449128
2700000, 0.513800, 0.963348, 0.440475
2700000, 0.542304, 0.836034, 0.459793
2700000, 0.531748, 0.852011, 0.462521
2700000, 0.529486, 0.920215, 0.436422
2700000, 0.502772, 1.154459, 0.461578
2800000, 0.552214, 0.814747, 0.480760
2800000, 0.547622, 1.019284, 0.466306
2800000, 0.508057, 1.106950, 0.458079
