Size, Seq, Par, Libc
0, 0.000000, 0.000951, 0.000000
0, 0.000000, 0.000758, 0.000001
0, 0.000000, 0.000988, 0.000001
0, 0.000000, 0.000735, 0.000001
0, 0.000000, 0.000606, 0.000001
1000000, 0.318361, 1.550696, 0.279393
1000000, 0.295325, 1.689235, 0.248368
1000000, 0.299860, 1.563134, 0.252053
1000000, 0.362780, 1.553594, 0.272653
1000000, 0.326982, 1.410105, 0.266616
2000000, 0.515201, 1.157083, 0.336807
2000000, 0.385686, 1.286474, 0.340348
2000000, 0.379441, 1.333884, 0.338857
2000000, 0.369731, 1.202312, 0.343628
2000000, 0.357841, 1.095695, 0.340718
3000000, 0.585200, 1.000509, 0.623394
3000000, 0.583495, 1.021503, 0.515367
3000000, 0.612019, 1.032273, 0.516362
3000000, 0.605903, 1.038381, 0.513381
3000000, 0.584855, 1.345079, 0.525986
4000000, 0.791690, 1.125232, 0.717881
4000000, 0.794828, 1.139471, 0.703615
4000000, 0.827965, 1.061302, 0.736027
4000000, 0.794108, 1.152311, 0.710094
4000000, 0.812756, 1.151844, 0.705575
5000000, 0.988425, 1.272023, 0.899564
5000000, 0.993331, 1.285425, 0.893679
5000000, 1.013770, 1.184610, 0.914710
5000000, 0.993634, 1.211774, 0.905736
5000000, 1.017752, 1.429822, 0.901821
6000000, 1.232477, 1.388207, 1.098220
6000000, 1.233637, 1.583479, 1.082763
6000000, 1.229940, 1.516462, 1.103696
6000000, 1.244184, 1.367898, 1.100526
6000000, 1.174340, 1.692057, 1.149779
7000000, 1.431374, 1.447826, 1.288417
7000000, 1.369153, 1.677685, 1.255381
7000000, 1.526973, 1.451205, 1.300393
7000000, 1.509888, 1.642746, 1.293367
7000000, 1.429082, 1.488165, 1.282514
8000000, 1.627847, 1.544743, 1.470277
8000000, 1.691413, 1.566175, 1.498257
8000000, 1.661949, 1.618064, 1.468610
8000000, 1.609357, 1.910070, 1.474929
8000000, 1.706728, 1.678404, 1.486023
9000000, 1.867265, 1.853586, 1.672437
9000000, 1.987597, 1.667066, 1.687662
9000000, 1.918115, 1.749225, 1.698515
9000000, 1.882713, 1.806884, 1.665830
9000000, 1.968485, 1.779764, 1.686116
10000000, 2.104660, 1.938040, 1.955944
10000000, 2.168895, 1.822399, 1.869394
10000000, 2.090145, 1.890122, 1.874870
10000000, 2.132434, 1.965596, 1.895536
10000000, 2.088311, 2.215520, 1.866539
11000000, 2.303724, 2.050350, 2.103051
11000000, 2.291439, 2.064910, 2.079352
11000000, 2.356606, 1.979827, 2.049289
11000000, 2.256118, 1.895552, 2.102670
11000000, 2.464724, 2.080230, 2.079650
12000000, 2.621320, 2.204994, 2.272932
12000000, 2.616408, 2.216610, 2.252610
12000000, 2.523812, 2.187218, 2.295311
12000000, 2.567014, 2.229339, 2.264050
12000000, 2.559502, 2.359947, 2.229929
13000000, 2.829772, 2.689119, 2.445879
13000000, 2.717039, 2.401152, 2.390718
13000000, 3.073317, 2.366042, 2.480226
13000000, 3.121502, 2.360800, 2.463076
13000000, 2.770890, 2.479172, 2.448503
14000000, 3.095046, 2.427702, 2.676116
14000000, 2.996415, 2.526077, 2.706839
14000000, 3.062064, 2.475413, 2.655259
14000000, 2.996201, 2.404550, 2.670843
14000000, 3.014426, 2.503808, 2.689245
15000000, 3.201694, 2.612099, 2.889959
15000000, 3.216930, 2.666834, 2.845208
15000000, 3.298137, 2.733108, 2.852121
15000000, 3.182090, 3.118683, 2.904934
15000000, 3.331026, 2.649620, 2.908808
