Size, Seq, Par, Libc
0, 0.000000, 0.001124, 0.000001
0, 0.000000, 0.000467, 0.000000
0, 0.000000, 0.001022, 0.000001
0, 0.000000, 0.000548, 0.000001
0, 0.000000, 0.001137, 0.000001
10000, 0.001171, 0.726895, 0.000966
10000, 0.001138, 0.575803, 0.000962
10000, 0.001314, 0.604873, 0.001090
10000, 0.001216, 0.642893, 0.001091
10000, 0.001124, 0.534320, 0.001552
20000, 0.002701, 0.615555, 0.002323
20000, 0.002881, 0.510555, 0.002088
20000, 0.002526, 0.618201, 0.002277
20000, 0.002678, 0.744861, 0.002089
20000, 0.003057, 0.679441, 0.002131
30000, 0.004469, 0.723926, 0.003584
30000, 0.003961, 0.742606, 0.003837
30000, 0.004138, 1.010896, 0.003385
30000, 0.003884, 0.781891, 0.003630
30000, 0.004131, 0.845030, 0.003277
40000, 0.008846, 0.752174, 0.004423
40000, 0.005705, 0.960424, 0.004558
40000, 0.005328, 0.968252, 0.004439
40000, 0.005993, 0.758448, 0.005304
40000, 0.005587, 0.621693, 0.004929
50000, 0.007339, 0.888535, 0.005773
50000, 0.008584, 0.621999, 0.006084
50000, 0.006921, 0.729827, 0.006727
50000, 0.007029, 0.665487, 0.006587
50000, 0.006923, 0.721420, 0.005843
60000, 0.009671, 0.646874, 0.007522
60000, 0.008794, 0.781059, 0.007436
60000, 0.008097, 0.840020, 0.008509
60000, 0.008559, 0.823583, 0.007182
60000, 0.009114, 0.731240, 0.007358
70000, 0.010511, 0.951379, 0.009283
70000, 0.009611, 0.801782, 0.008836
70000, 0.009877, 1.029080, 0.008772
70000, 0.009617, 0.824859, 0.008229
70000, 0.012210, 0.803788, 0.009588
80000, 0.011655, 1.147966, 0.009721
80000, 0.011557, 0.849585, 0.009723
80000, 0.013178, 0.803739, 0.010847
80000, 0.012095, 0.559525, 0.010040
80000, 0.012664, 0.685553, 0.012117
90000, 0.014371, 0.948810, 0.011229
90000, 0.014585, 0.827411, 0.012417
90000, 0.013039, 0.675107, 0.011849
90000, 0.014428, 0.803717, 0.011500
90000, 0.013473, 0.741704, 0.013346
100000, 0.015443, 0.809915, 0.013376
100000, 0.016306, 0.923155, 0.013017
100000, 0.014038, 1.101427, 0.013562
100000, 0.014857, 0.919084, 0.012696
100000, 0.014083, 1.148481, 0.012456
110000, 0.016557, 1.353805, 0.014294
110000, 0.018259, 0.925185, 0.013536
110000, 0.018621, 0.790608, 0.015201
