Size, Seq, Par, Libc
0, 0.000000, 0.000221, 0.000001
200000, 0.062202, 0.035328, 0.027481
400000, 0.060141, 0.066429, 0.057863
600000, 0.091254, 0.096619, 0.088866
800000, 0.124738, 0.120124, 0.120667
1000000, 0.158117, 0.149107, 0.153424
1200000, 0.189104, 0.176992, 0.186264
1400000, 0.233044, 0.202317, 0.220126
1600000, 0.261742, 0.237956, 0.255020
1800000, 0.294162, 0.268496, 0.289889
2000000, 0.329369, 0.297476, 0.323551
2200000, 0.363307, 0.321666, 0.358209
2400000, 0.397213, 0.338388, 0.392690
0, 0.000001, 0.000169, 0.000000
200000, 0.044613, 0.039444, 0.027425
400000, 0.059814, 0.069439, 0.057949
600000, 0.107330, 0.090549, 0.088790
800000, 0.127921, 0.123705, 0.120629
1000000, 0.159420, 0.150304, 0.153367
1200000, 0.188931, 0.184582, 0.186498
1400000, 0.227037, 0.199944, 0.221293
1600000, 0.257328, 0.240688, 0.254083
1800000, 0.299139, 0.274652, 0.289500
2000000, 0.322249, 0.285228, 0.321860
2200000, 0.361047, 0.316555, 0.361271
2400000, 0.399636, 0.357086, 0.393197
0, 0.000000, 0.000269, 0.000000
200000, 0.028280, 0.035965, 0.027324
400000, 0.078555, 0.065049, 0.057619
600000, 0.090841, 0.094283, 0.088855
800000, 0.126898, 0.123142, 0.122204
1000000, 0.157097, 0.151626, 0.153198
1200000, 0.189930, 0.172850, 0.186616
1400000, 0.236633, 0.212563, 0.220251
1600000, 0.261210, 0.242350, 0.256523
1800000, 0.294914, 0.253699, 0.287565
2000000, 0.322351, 0.292748, 0.321309
2200000, 0.367377, 0.328903, 0.358059
2400000, 0.400826, 0.354071, 0.391626
0, 0.000000, 0.000431, 0.000001
200000, 0.028072, 0.039997, 0.027368
400000, 0.059769, 0.064713, 0.058551
600000, 0.092848, 0.098007, 0.088721
800000, 0.138217, 0.123987, 0.120786
1000000, 0.156010, 0.145697, 0.155466
1200000, 0.191238, 0.180534, 0.187169
1400000, 0.224239, 0.210853, 0.220521
1600000, 0.258071, 0.225297, 0.254240
1800000, 0.305979, 0.261658, 0.289151
2000000, 0.336002, 0.289194, 0.322858
2200000, 0.364787, 0.329204, 0.358379
2400000, 0.404695, 0.356516, 0.391883
0, 0.000000, 0.000157, 0.000000
200000, 0.028189, 0.036448, 0.028091
400000, 0.060650, 0.064912, 0.057487
600000, 0.091982, 0.088071, 0.088582
800000, 0.146647, 0.126719, 0.120696
1000000, 0.170791, 0.147439, 0.153291
1200000, 0.190570, 0.158891, 0.188353
1400000, 0.222614, 0.213527, 0.220297
1600000, 0.255102, 0.238310, 0.253805
1800000, 0.299952, 0.263148, 0.287703
2000000, 0.337022, 0.288425, 0.322199
2200000, 0.366843, 0.335348, 0.358800
2400000, 0.399491, 0.356934, 0.392699
0, 0.000000, 0.000161, 0.000000
200000, 0.027827, 0.037431, 0.027340
400000, 0.058506, 0.063136, 0.057384
600000, 0.090239, 0.096651, 0.089575
800000, 0.123218, 0.119655, 0.120614
1000000, 0.159254, 0.143538, 0.153811
