Size, Seq, Par, Libc
0, 0.000000, 0.000539, 0.000000
100000, 0.013721, 0.028266, 0.013424
200000, 0.029340, 0.037532, 0.027873
300000, 0.068437, 0.049568, 0.043211
400000, 0.059723, 0.063072, 0.057681
500000, 0.093414, 0.078068, 0.073047
600000, 0.091326, 0.088787, 0.088997
700000, 0.106007, 0.108560, 0.104880
800000, 0.123726, 0.122852, 0.122148
900000, 0.157900, 0.141697, 0.136588
1000000, 0.154310, 0.145540, 0.153913
1100000, 0.174289, 0.157074, 0.170581
1200000, 0.191262, 0.178603, 0.186397
1300000, 0.221038, 0.192320, 0.202988
1400000, 0.226038, 0.203850, 0.220285
1500000, 0.241432, 0.230447, 0.238425
1600000, 0.258885, 0.229300, 0.255264
1700000, 0.280939, 0.243280, 0.270273
1800000, 0.297068, 0.263146, 0.288494
1900000, 0.315292, 0.291067, 0.304903
2000000, 0.324472, 0.290420, 0.322864
0, 0.000001, 0.000172, 0.000000
100000, 0.013519, 0.026889, 0.013460
200000, 0.028925, 0.037419, 0.027400
300000, 0.043630, 0.051305, 0.042593
400000, 0.060816, 0.065071, 0.058535
500000, 0.075449, 0.080277, 0.072904
600000, 0.093054, 0.097767, 0.089070
700000, 0.106264, 0.107796, 0.105244
800000, 0.122936, 0.114379, 0.121589
900000, 0.140353, 0.139278, 0.137364
1000000, 0.172656, 0.147649, 0.153281
1100000, 0.176074, 0.165211, 0.169778
1200000, 0.207618, 0.188752, 0.188349
1300000, 0.205658, 0.194224, 0.204823
1400000, 0.221208, 0.208834, 0.221329
1500000, 0.244583, 0.226179, 0.238821
1600000, 0.258656, 0.230124, 0.255561
1700000, 0.277510, 0.247648, 0.273517
1800000, 0.291317, 0.258728, 0.288560
1900000, 0.313284, 0.275409, 0.305806
2000000, 0.327053, 0.295273, 0.323725
0, 0.000000, 0.000316, 0.000000
100000, 0.048189, 0.029819, 0.013511
200000, 0.056616, 0.038392, 0.027611
300000, 0.044020, 0.047971, 0.042927
400000, 0.081710, 0.067124, 0.057741
500000, 0.075743, 0.079790, 0.073203
600000, 0.111495, 0.094216, 0.089120
700000, 0.109304, 0.107857, 0.106118
800000, 0.126127, 0.122456, 0.120460
900000, 0.143445, 0.133715, 0.137673
1000000, 0.161005, 0.147054, 0.153348
1100000, 0.174031, 0.164554, 0.171079
1200000, 0.189622, 0.169439, 0.186745
1300000, 0.209957, 0.198590, 0.203483
1400000, 0.229527, 0.197667, 0.220364
1500000, 0.240590, 0.224692, 0.237161
1600000, 0.263841, 0.234580, 0.255371
1700000, 0.279906, 0.248361, 0.271822
1800000, 0.305489, 0.263125, 0.289742
1900000, 0.323173, 0.283139, 0.306620
2000000, 0.331563, 0.297602, 0.322050
0, 0.000000, 0.000171, 0.000000
100000, 0.013705, 0.024912, 0.013514
200000, 0.028384, 0.037057, 0.027598
300000, 0.043022, 0.052090, 0.043102
400000, 0.060243, 0.064864, 0.057512
500000, 0.074726, 0.078520, 0.073062
600000, 0.091710, 0.094082, 0.088980
700000, 0.105219, 0.112672, 0.105062
800000, 0.124064, 0.123044, 0.120946
900000, 0.140818, 0.141215, 0.137273
1000000, 0.170583, 0.154257, 0.153622
1100000, 0.174785, 0.157496, 0.171011
1200000, 0.201497, 0.177453, 0.188333
1300000, 0.210687, 0.197507, 0.202800
1400000, 0.227866, 0.201043, 0.221298
1500000, 0.240469, 0.225155, 0.241535
1600000, 0.257259, 0.236597, 0.253475
1700000, 0.277168, 0.240988, 0.272428
1800000, 0.296011, 0.268641, 0.288877
1900000, 0.311818, 0.280533, 0.305495
2000000, 0.324340, 0.303049, 0.323500
0, 0.000000, 0.000161, 0.000001
100000, 0.033127, 0.028476, 0.013374
200000, 0.028396, 0.038994, 0.027571
300000, 0.043308, 0.052218, 0.043420
400000, 0.059099, 0.062395, 0.057550
500000, 0.075400, 0.082839, 0.073217
600000, 0.109754, 0.096038, 0.089216
700000, 0.106952, 0.108288, 0.105511
800000, 0.124822, 0.125202, 0.121678
900000, 0.155896, 0.140944, 0.137225
1000000, 0.157278, 0.153663, 0.153945
1100000, 0.187122, 0.167308, 0.171381
1200000, 0.200155, 0.182223, 0.187570
1300000, 0.210698, 0.190858, 0.203724
1400000, 0.225346, 0.205155, 0.223611
1500000, 0.246930, 0.227708, 0.238033
1600000, 0.260237, 0.241067, 0.253803
1700000, 0.273041, 0.259682, 0.272589
1800000, 0.295183, 0.267986, 0.287797
1900000, 0.314513, 0.282673, 0.307279
2000000, 0.332274, 0.298149, 0.323336
0, 0.000000, 0.000401, 0.000000
100000, 0.046429, 0.025652, 0.013501
200000, 0.028151, 0.037499, 0.028031
300000, 0.044085, 0.051577, 0.042925
400000, 0.081434, 0.065689, 0.057948
500000, 0.074390, 0.077889, 0.073451
600000, 0.094708, 0.091415, 0.088885
700000, 0.105723, 0.107318, 0.105463
800000, 0.125819, 0.120003, 0.121150
900000, 0.145501, 0.134674, 0.137147
1000000, 0.171177, 0.152134, 0.153195
1100000, 0.185408, 0.166950, 0.170127
1200000, 0.200627, 0.181340, 0.186792
1300000, 0.206070, 0.191995, 0.212301
1400000, 0.243157, 0.215907, 0.242204
1500000, 0.250387, 0.220686, 0.237937
1600000, 0.268330, 0.235578, 0.254567
1700000, 0.276623, 0.238137, 0.271586
1800000, 0.297533, 0.266825, 0.287926
1900000, 0.314982, 0.272692, 0.307933
2000000, 0.326929, 0.293870, 0.323577
0, 0.000000, 0.000175, 0.000000
100000, 0.013399, 0.022177, 0.013452
200000, 0.052857, 0.037341, 0.028068
300000, 0.043569, 0.055044, 0.042719
400000, 0.059449, 0.068922, 0.058432
500000, 0.095808, 0.078175, 0.073128
600000, 0.092389, 0.091179, 0.088714
700000, 0.108488, 0.107833, 0.104898
800000, 0.123833, 0.120658, 0.121116
900000, 0.146381, 0.138664, 0.137257
1000000, 0.158022, 0.151313, 0.153587
1100000, 0.172393, 0.166552, 0.170333
1200000, 0.196370, 0.169671, 0.187252
1300000, 0.215018, 0.197739, 0.202841
1400000, 0.233702, 0.203874, 0.221040
1500000, 0.251006, 0.219331, 0.239865
1600000, 0.258362, 0.231969, 0.254089
1700000, 0.272852, 0.246182, 0.271981
1800000, 0.304380, 0.269456, 0.287953
1900000, 0.315060, 0.291130, 0.305291
2000000, 0.336860, 0.292894, 0.323187
0, 0.000000, 0.000135, 0.000001
100000, 0.041360, 0.031202, 0.013611
200000, 0.030015, 0.037626, 0.027809
300000, 0.066295, 0.051920, 0.042527
400000, 0.080870, 0.064789, 0.057990
500000, 0.097063, 0.077279, 0.073796
600000, 0.091364, 0.092715, 0.088981
700000, 0.107611, 0.109002, 0.104941
800000, 0.127473, 0.124193, 0.120584
900000, 0.140531, 0.135137, 0.136973
1000000, 0.158236, 0.149799, 0.153723
1100000, 0.176189, 0.162904, 0.170440
1200000, 0.191118, 0.174735, 0.187289
1300000, 0.207698, 0.194977, 0.203260
1400000, 0.225441, 0.216835, 0.220894
1500000, 0.244395, 0.220649, 0.238619
1600000, 0.258943, 0.235435, 0.254443
1700000, 0.277023, 0.254432, 0.271511
1800000, 0.297967, 0.269124, 0.287811
1900000, 0.311405, 0.280596, 0.305154
2000000, 0.326303, 0.292143, 0.322342
0, 0.000001, 0.000155, 0.000000
100000, 0.041058, 0.033385, 0.013644
200000, 0.028616, 0.035786, 0.027453
300000, 0.066757, 0.051357, 0.043041
400000, 0.060188, 0.063914, 0.058029
500000, 0.074311, 0.079690, 0.073583
600000, 0.108888, 0.092910, 0.089039
700000, 0.108236, 0.109559, 0.105297
