Size, Seq, Par, Libc
0, 0.000000, 0.000566, 0.000001
500000, 0.093379, 0.082821, 0.073026
1000000, 0.154901, 0.147966, 0.153133
1500000, 0.238178, 0.228978, 0.237541
2000000, 0.330088, 0.284361, 0.322069
2500000, 0.418236, 0.378492, 0.409158
3000000, 0.510089, 0.415559, 0.501233
3500000, 0.610976, 0.533339, 0.589517
4000000, 0.697106, 0.578631, 0.679296
4500000, 0.801421, 0.685893, 0.774726
5000000, 0.868266, 0.766206, 0.861998
5500000, 0.954167, 0.817380, 0.956499
6000000, 1.083766, 0.875985, 1.050438
6500000, 1.150026, 0.964724, 1.138786
7000000, 1.238731, 1.052527, 1.237276
7500000, 1.355629, 1.078278, 1.326701
8000000, 1.425305, 1.131841, 1.424440
8500000, 1.524174, 1.213839, 1.515220
9000000, 1.615630, 1.303011, 1.610043
9500000, 1.734793, 1.409335, 1.713873
10000000, 1.818642, 1.477105, 1.804553
0, 0.000000, 0.000159, 0.000001
500000, 0.074089, 0.077826, 0.073153
1000000, 0.156327, 0.150449, 0.154675
1500000, 0.251016, 0.225354, 0.237719
2000000, 0.327460, 0.295790, 0.323593
2500000, 0.422440, 0.382292, 0.410213
3000000, 0.512814, 0.451494, 0.499697
3500000, 0.610593, 0.504009, 0.594370
4000000, 0.685236, 0.595657, 0.678851
4500000, 0.808481, 0.641649, 0.772545
5000000, 0.885346, 0.717763, 0.862230
5500000, 0.969798, 0.771814, 0.956264
6000000, 1.076220, 0.896969, 1.048096
6500000, 1.180029, 0.971727, 1.139017
7000000, 1.239250, 1.056544, 1.237819
7500000, 1.331741, 1.110910, 1.333793
8000000, 1.438188, 1.165713, 1.434569
8500000, 1.563786, 1.256859, 1.527626
9000000, 1.639093, 1.308555, 1.626329
9500000, 1.747549, 1.342445, 1.702935
10000000, 1.813208, 1.489693, 1.802720
0, 0.000000, 0.000148, 0.000000
500000, 0.075253, 0.078107, 0.072761
1000000, 0.169296, 0.150504, 0.155035
1500000, 0.239361, 0.228482, 0.238687
2000000, 0.332886, 0.292010, 0.321480
2500000, 0.422951, 0.384469, 0.409207
3000000, 0.512190, 0.435404, 0.502028
3500000, 0.601101, 0.507346, 0.589777
4000000, 0.684433, 0.576985, 0.679356
4500000, 0.796659, 0.652830, 0.774287
5000000, 0.861508, 0.741337, 0.861970
5500000, 0.969602, 0.796319, 0.953770
6000000, 1.068181, 0.856370, 1.049369
6500000, 1.152194, 0.986764, 1.139760
7000000, 1.256585, 0.998951, 1.235093
7500000, 1.337279, 1.061662, 1.328605
8000000, 1.474158, 1.148866, 1.423802
8500000, 1.539031, 1.247406, 1.514686
9000000, 1.678812, 1.267335, 1.614860
9500000, 1.744426, 1.349252, 1.705851
10000000, 1.854471, 1.478963, 1.796196
0, 0.000000, 0.000160, 0.000000
500000, 0.073832, 0.080964, 0.073198
1000000, 0.170455, 0.160612, 0.155875
