Size, Seq, Par, Libc
0, 0.000000, 0.001127, 0.000001
10000, 0.003462, 0.018110, 0.001089
20000, 0.002415, 0.028599, 0.002335
30000, 0.003893, 0.018669, 0.003636
40000, 0.005215, 0.018646, 0.004975
50000, 0.006562, 0.020286, 0.006350
60000, 0.007958, 0.019151, 0.007749
70000, 0.009681, 0.021457, 0.009200
80000, 0.010884, 0.026087, 0.010467
90000, 0.012536, 0.028018, 0.012020
100000, 0.014076, 0.036558, 0.013489
110000, 0.015472, 0.030955, 0.014867
120000, 0.016808, 0.027051, 0.015991
130000, 0.018252, 0.027471, 0.017864
140000, 0.019035, 0.026651, 0.019487
150000, 0.020957, 0.030097, 0.020057
160000, 0.022470, 0.033080, 0.022501
170000, 0.024029, 0.030569, 0.023581
180000, 0.025047, 0.034414, 0.025226
190000, 0.026207, 0.034054, 0.026281
200000, 0.028772, 0.038053, 0.028034
210000, 0.040009, 0.036238, 0.029659
220000, 0.030977, 0.040557, 0.030979
230000, 0.033543, 0.039163, 0.032445
240000, 0.056247, 0.040666, 0.033454
250000, 0.058740, 0.041768, 0.034773
260000, 0.059033, 0.044461, 0.036351
270000, 0.039240, 0.046658, 0.038543
280000, 0.062179, 0.049158, 0.039430
290000, 0.050255, 0.050226, 0.041502
300000, 0.043639, 0.051436, 0.042464
310000, 0.045163, 0.051422, 0.044800
320000, 0.068284, 0.055417, 0.046322
330000, 0.049136, 0.055112, 0.046863
340000, 0.074018, 0.057477, 0.048658
350000, 0.050676, 0.059044, 0.050630
360000, 0.055254, 0.062048, 0.052527
370000, 0.079044, 0.060111, 0.053405
380000, 0.055264, 0.061125, 0.054705
390000, 0.080835, 0.062594, 0.056244
400000, 0.059261, 0.063867, 0.057779
410000, 0.081738, 0.068402, 0.059466
420000, 0.079557, 0.067270, 0.060759
430000, 0.062787, 0.069926, 0.062432
440000, 0.064189, 0.070564, 0.064153
450000, 0.066446, 0.071432, 0.070485
460000, 0.069297, 0.073256, 0.066803
470000, 0.069795, 0.074107, 0.068054
480000, 0.071990, 0.075902, 0.070891
490000, 0.073643, 0.077738, 0.071847
500000, 0.075371, 0.080673, 0.073547
510000, 0.075315, 0.083293, 0.074419
520000, 0.100665, 0.080767, 0.075983
530000, 0.100446, 0.086744, 0.077907
540000, 0.081925, 0.085191, 0.079691
550000, 0.082608, 0.088665, 0.081550
560000, 0.083830, 0.087579, 0.083526
570000, 0.087619, 0.090986, 0.094233
580000, 0.099720, 0.092463, 0.095556
590000, 0.098401, 0.091369, 0.094735
600000, 0.095220, 0.094500, 0.089193
610000, 0.100088, 0.094305, 0.090572
620000, 0.098747, 0.097143, 0.092325
630000, 0.094344, 0.100559, 0.093757
640000, 0.116401, 0.096486, 0.095056
650000, 0.099943, 0.099914, 0.096603
660000, 0.099648, 0.102545, 0.098508
670000, 0.101107, 0.101582, 0.100566
680000, 0.106379, 0.109338, 0.101754
690000, 0.106687, 0.110919, 0.103457
700000, 0.106218, 0.108806, 0.104392
710000, 0.109451, 0.106342, 0.106742
720000, 0.110634, 0.110091, 0.108483
730000, 0.112507, 0.109805, 0.109138
740000, 0.117438, 0.109579, 0.111047
750000, 0.114020, 0.117342, 0.112586
760000, 0.116065, 0.119020, 0.114562
770000, 0.118513, 0.119855, 0.116127
780000, 0.137702, 0.112482, 0.119008
790000, 0.121078, 0.123449, 0.119923
800000, 0.122998, 0.127090, 0.120942
810000, 0.125687, 0.121156, 0.124986
820000, 0.127490, 0.121693, 0.124490
830000, 0.129363, 0.127430, 0.125705
840000, 0.130456, 0.126038, 0.128432
850000, 0.134884, 0.130012, 0.129078
860000, 0.130971, 0.128640, 0.130502
870000, 0.137751, 0.129116, 0.132197
880000, 0.147942, 0.134414, 0.134340
890000, 0.140450, 0.134530, 0.136986
900000, 0.142713, 0.138132, 0.137093
910000, 0.141170, 0.136335, 0.139014
920000, 0.143034, 0.124987, 0.139560
930000, 0.142091, 0.137843, 0.141555
940000, 0.147605, 0.147639, 0.144848
950000, 0.149408, 0.141609, 0.145323
960000, 0.150371, 0.146336, 0.147329
970000, 0.149533, 0.148385, 0.148433
980000, 0.151878, 0.145214, 0.150206
990000, 0.158630, 0.146708, 0.151678
1000000, 0.156524, 0.149016, 0.153719
0, 0.000000, 0.000127, 0.000000
10000, 0.001098, 0.015423, 0.001090
20000, 0.002475, 0.021459, 0.002334
30000, 0.003935, 0.024857, 0.003633
40000, 0.005244, 0.021807, 0.005013
50000, 0.006689, 0.023579, 0.006351
60000, 0.008141, 0.034068, 0.007754
70000, 0.009573, 0.022951, 0.009199
80000, 0.011328, 0.022194, 0.010614
90000, 0.011865, 0.024144, 0.012097
100000, 0.014114, 0.027769, 0.013359
110000, 0.015015, 0.024060, 0.015064
120000, 0.016801, 0.029215, 0.016400
130000, 0.050660, 0.031388, 0.017796
140000, 0.019182, 0.030316, 0.019558
150000, 0.020981, 0.028773, 0.020760
160000, 0.022623, 0.029336, 0.021923
170000, 0.023846, 0.035849, 0.023641
180000, 0.025016, 0.037831, 0.025443
190000, 0.026650, 0.035349, 0.026485
200000, 0.028690, 0.039614, 0.027887
210000, 0.041310, 0.039596, 0.029107
220000, 0.055594, 0.040732, 0.030610
230000, 0.032391, 0.042198, 0.034780
240000, 0.044268, 0.042001, 0.034078
250000, 0.036152, 0.041728, 0.035066
260000, 0.038171, 0.044773, 0.036909
270000, 0.040160, 0.044763, 0.038653
280000, 0.040619, 0.044943, 0.040083
290000, 0.065161, 0.048927, 0.041490
300000, 0.043903, 0.052255, 0.042312
310000, 0.053334, 0.052560, 0.043995
320000, 0.055991, 0.055103, 0.046326
330000, 0.047944, 0.056310, 0.047562
340000, 0.052416, 0.059569, 0.049113
350000, 0.073122, 0.057327, 0.050405
360000, 0.052503, 0.058804, 0.051661
370000, 0.054428, 0.060013, 0.053406
380000, 0.055837, 0.064161, 0.054748
390000, 0.056843, 0.061768, 0.056555
400000, 0.066123, 0.063906, 0.057604
410000, 0.067585, 0.065687, 0.059507
420000, 0.062603, 0.066944, 0.060717
430000, 0.062990, 0.067588, 0.062325
440000, 0.067854, 0.071809, 0.064218
450000, 0.068022, 0.071860, 0.065347
460000, 0.090121, 0.072915, 0.066637
470000, 0.094717, 0.074184, 0.068847
480000, 0.078345, 0.079050, 0.070204
490000, 0.092054, 0.078642, 0.071670
500000, 0.075285, 0.081664, 0.073149
510000, 0.076497, 0.081967, 0.074583
520000, 0.078254, 0.082264, 0.076876
530000, 0.081751, 0.085560, 0.077548
540000, 0.080710, 0.085645, 0.079937
550000, 0.081217, 0.087377, 0.081041
560000, 0.084974, 0.087303, 0.082598
570000, 0.087033, 0.089254, 0.084330
580000, 0.087820, 0.088741, 0.085840
590000, 0.105947, 0.092544, 0.087407
600000, 0.091834, 0.093624, 0.089416
610000, 0.092900, 0.091999, 0.090774
620000, 0.096002, 0.100128, 0.092285
630000, 0.115151, 0.096330, 0.093989
640000, 0.118834, 0.102517, 0.095288
650000, 0.118431, 0.101142, 0.096756
660000, 0.100264, 0.100837, 0.098690
670000, 0.104057, 0.107328, 0.100258
680000, 0.122982, 0.104372, 0.102897
690000, 0.107343, 0.103162, 0.103402
700000, 0.124712, 0.102227, 0.106492
710000, 0.110250, 0.110758, 0.106557
720000, 0.111745, 0.108657, 0.109021
730000, 0.113462, 0.110455, 0.109471
740000, 0.131867, 0.110390, 0.111251
750000, 0.114960, 0.112912, 0.112746
760000, 0.116795, 0.113576, 0.114398
770000, 0.118166, 0.120414, 0.116606
780000, 0.140427, 0.118860, 0.118255
790000, 0.121741, 0.122961, 0.119166
800000, 0.140214, 0.117773, 0.120628
810000, 0.123985, 0.120328, 0.123006
820000, 0.126277, 0.123839, 0.124179
830000, 0.130657, 0.121626, 0.126997
840000, 0.130165, 0.124934, 0.127653
850000, 0.131472, 0.130151, 0.128840
860000, 0.133915, 0.127402, 0.131086
870000, 0.135583, 0.136355, 0.132445
880000, 0.136959, 0.129964, 0.135188
890000, 0.140416, 0.133290, 0.135363
900000, 0.138896, 0.136363, 0.138238
910000, 0.160818, 0.139377, 0.138613
920000, 0.144592, 0.138037, 0.139875
930000, 0.148272, 0.141912, 0.142284
940000, 0.146044, 0.140032, 0.144137
950000, 0.151144, 0.151402, 0.145623
960000, 0.148839, 0.150387, 0.146608
970000, 0.157129, 0.158296, 0.148334
980000, 0.157437, 0.154750, 0.149999
990000, 0.155457, 0.140542, 0.152049
1000000, 0.155748, 0.151641, 0.155785
0, 0.000000, 0.000346, 0.000000
10000, 0.002967, 0.021056, 0.001085
20000, 0.002498, 0.017859, 0.002342
30000, 0.003822, 0.021414, 0.003638
40000, 0.005365, 0.025393, 0.005162
50000, 0.006680, 0.022959, 0.006355
60000, 0.008075, 0.020685, 0.007809
70000, 0.009613, 0.024084, 0.009253
80000, 0.010882, 0.026595, 0.010559
90000, 0.012143, 0.035406, 0.012045
100000, 0.013906, 0.028933, 0.013507
