Size, Seq, Par, Libc
0, 0.000001, 0.000309, 0.000001
100000, 0.027992, 0.089834, 0.026803
200000, 0.059504, 0.105844, 0.056529
300000, 0.084534, 0.115708, 0.088193
400000, 0.117753, 0.135986, 0.118232
500000, 0.147205, 0.151954, 0.151166
600000, 0.174311, 0.178570, 0.174130
700000, 0.228504, 0.192656, 0.211529
800000, 0.251843, 0.210502, 0.239504
900000, 0.265622, 0.239705, 0.275142
1000000, 0.295684, 0.253191, 0.302968
0, 0.000000, 0.000547, 0.000001
100000, 0.027642, 0.074420, 0.027401
200000, 0.058884, 0.098852, 0.055178
300000, 0.082515, 0.124670, 0.082801
400000, 0.118231, 0.134089, 0.117307
500000, 0.141897, 0.158842, 0.141769
600000, 0.185840, 0.180400, 0.184615
700000, 0.213097, 0.202935, 0.212366
800000, 0.240943, 0.243561, 0.304054
900000, 0.280404, 0.228842, 0.275862
1000000, 0.329315, 0.262335, 0.308972
0, 0.000001, 0.000256, 0.000001
100000, 0.026458, 0.079484, 0.028905
200000, 0.056305, 0.104132, 0.055790
300000, 0.083474, 0.148358, 0.082796
400000, 0.116906, 0.147638, 0.113402
500000, 0.155821, 0.144386, 0.157775
600000, 0.175636, 0.171874, 0.188543
700000, 0.213091, 0.192740, 0.205185
800000, 0.239249, 0.209397, 0.243184
900000, 0.269299, 0.219155, 0.294976
1000000, 0.304866, 0.249725, 0.309246
0, 0.000000, 0.000435, 0.000001
100000, 0.026959, 0.075924, 0.024968
200000, 0.057577, 0.091392, 0.054188
300000, 0.083571, 0.113401, 0.087495
400000, 0.125036, 0.126125, 0.113499
500000, 0.142028, 0.154500, 0.153413
600000, 0.175059, 0.172076, 0.185141
700000, 0.224822, 0.185975, 0.203289
800000, 0.239902, 0.229544, 0.235458
900000, 0.280676, 0.232407, 0.272760
1000000, 0.299420, 0.260624, 0.299366
0, 0.000000, 0.000243, 0.000000
100000, 0.026463, 0.079922, 0.026320
200000, 0.053735, 0.097548, 0.056816
300000, 0.084548, 0.105108, 0.091183
400000, 0.113273, 0.130439, 0.111981
500000, 0.152489, 0.163461, 0.147554
600000, 0.183596, 0.172566, 0.183414
700000, 0.202110, 0.177271, 0.210031
800000, 0.236640, 0.193487, 0.248713
900000, 0.274507, 0.223981, 0.266988
1000000, 0.314326, 0.253989, 0.307511
0, 0.000000, 0.000339, 0.000001
100000, 0.028167, 0.075272, 0.026037
200000, 0.053816, 0.098355, 0.053143
300000, 0.089896, 0.102045, 0.085191
400000, 0.118136, 0.126540, 0.114310
500000, 0.145032, 0.150805, 0.142362
600000, 0.176701, 0.163355, 0.173771
700000, 0.219273, 0.182509, 0.207948
800000, 0.239837, 0.203741, 0.241417
900000, 0.276028, 0.224686, 0.276105
1000000, 0.305628, 0.241593, 0.305511
0, 0.000000, 0.000428, 0.000001
100000, 0.030802, 0.071581, 0.026892
200000, 0.060145, 0.091686, 0.059684
300000, 0.082974, 0.117608, 0.083384
400000, 0.121553, 0.132799, 0.113504
500000, 0.153953, 0.147603, 0.145898
600000, 0.179826, 0.168246, 0.181087
700000, 0.206492, 0.187701, 0.205408
800000, 0.238777, 0.210992, 0.236337
900000, 0.268800, 0.235912, 0.271818
1000000, 0.302551, 0.237614, 0.321686
0, 0.000000, 0.000340, 0.000001
100000, 0.030376, 0.077922, 0.026472
200000, 0.062998, 0.089751, 0.053978
300000, 0.086272, 0.110934, 0.089902
400000, 0.112428, 0.136187, 0.117558
500000, 0.147952, 0.154221, 0.144318
600000, 0.176025, 0.174851, 0.180532
700000, 0.203731, 0.189459, 0.215494
800000, 0.242338, 0.211540, 0.240058
900000, 0.272156, 0.234245, 0.274183
1000000, 0.306498, 0.245142, 0.318528
0, 0.000000, 0.000467, 0.000001
100000, 0.028505, 0.082904, 0.026471
200000, 0.063208, 0.101699, 0.054723
300000, 0.085520, 0.115428, 0.083066
400000, 0.113572, 0.137047, 0.121700
500000, 0.150485, 0.148707, 0.148162
600000, 0.177405, 0.169399, 0.196465
700000, 0.207468, 0.201981, 0.206757
800000, 0.244842, 0.218643, 0.249569
900000, 0.277497, 0.229983, 0.276915
1000000, 0.326698, 0.249853, 0.306215
0, 0.000000, 0.000504, 0.000001
100000, 0.029104, 0.077605, 0.027213
200000, 0.055606, 0.098508, 0.054625
300000, 0.086915, 0.110006, 0.087978
400000, 0.122658, 0.136981, 0.119931
500000, 0.148754, 0.155470, 0.143057
600000, 0.175146, 0.180416, 0.182311
700000, 0.212249, 0.188206, 0.213018
800000, 0.237042, 0.222267, 0.240175
900000, 0.273721, 0.240837, 0.268172
1000000, 0.299584, 0.250052, 0.304113
0, 0.000001, 0.000515, 0.000001
100000, 0.029295, 0.092077, 0.026791
200000, 0.054843, 0.097199, 0.053515
300000, 0.087799, 0.111529, 0.091131
400000, 0.112292, 0.139869, 0.119851
500000, 0.145506, 0.157177, 0.142951
600000, 0.181790, 0.174513, 0.172649
700000, 0.207922, 0.200301, 0.211800
800000, 0.245156, 0.207171, 0.240026
900000, 0.273423, 0.232402, 0.285377
1000000, 0.301887, 0.278635, 0.308184
0, 0.000000, 0.000469, 0.000001
100000, 0.028445, 0.090631, 0.026830
200000, 0.059231, 0.091411, 0.053192
300000, 0.088516, 0.119770, 0.085948
400000, 0.117770, 0.125313, 0.112977
500000, 0.145486, 0.147882, 0.143230
600000, 0.174781, 0.171249, 0.178180
700000, 0.204195, 0.198507, 0.209657
800000, 0.244446, 0.214193, 0.245387
900000, 0.269288, 0.226943, 0.267156
1000000, 0.309822, 0.254479, 0.297775
0, 0.000001, 0.000429, 0.000001
100000, 0.035008, 0.079328, 0.027176
200000, 0.058733, 0.091351, 0.054344
300000, 0.082016, 0.119274, 0.082865
400000, 0.113234, 0.133745, 0.111139
500000, 0.148573, 0.145596, 0.150627
600000, 0.173617, 0.175078, 0.177304
700000, 0.202650, 0.185823, 0.204310
800000, 0.242199, 0.220434, 0.234697
900000, 0.274690, 0.236183, 0.266640
1000000, 0.305427, 0.252777, 0.303119
0, 0.000000, 0.000458, 0.000001
100000, 0.026735, 0.089829, 0.026932
200000, 0.059316, 0.103868, 0.053771
300000, 0.082857, 0.113856, 0.082273
400000, 0.115401, 0.129039, 0.117158
500000, 0.161038, 0.159194, 0.146088
600000, 0.184392, 0.159576, 0.177941
700000, 0.209975, 0.191494, 0.209532
800000, 0.249712, 0.234390, 0.240914
900000, 0.275315, 0.224647, 0.267181
1000000, 0.300543, 0.253510, 0.297801
0, 0.000000, 0.000495, 0.000001
100000, 0.030188, 0.082662, 0.026120
200000, 0.057282, 0.095782, 0.061941
300000, 0.084571, 0.117926, 0.083283
400000, 0.120622, 0.156199, 0.119370
500000, 0.144770, 0.148377, 0.143401
600000, 0.176070, 0.175775, 0.172621
700000, 0.211182, 0.191497, 0.213180
800000, 0.252938, 0.216421, 0.249684
900000, 0.275471, 0.228639, 0.272292
1000000, 0.311090, 0.256174, 0.306584
0, 0.000000, 0.000542, 0.000001
100000, 0.031849, 0.081412, 0.025835
200000, 0.055580, 0.105508, 0.059509
300000, 0.096727, 0.118722, 0.082369
400000, 0.112818, 0.124717, 0.126606
500000, 0.153152, 0.154014, 0.146936
600000, 0.175860, 0.173770, 0.178056
700000, 0.210225, 0.200812, 0.208180
800000, 0.236083, 0.204847, 0.235386
900000, 0.264837, 0.235472, 0.275700
1000000, 0.315687, 0.255937, 0.314208
0, 0.000001, 0.000493, 0.000001
100000, 0.027909, 0.071521, 0.028493
200000, 0.054500, 0.107748, 0.059395
300000, 0.083506, 0.117250, 0.084689
400000, 0.113826, 0.131361, 0.121005
500000, 0.148841, 0.173691, 0.147899
600000, 0.175178, 0.175054, 0.179676
700000, 0.218052, 0.196770, 0.203636
800000, 0.248938, 0.223173, 0.238979
900000, 0.275946, 0.226352, 0.268214
1000000, 0.304114, 0.245837, 0.305655
0, 0.000000, 0.000455, 0.000002
100000, 0.029197, 0.072556, 0.026983
200000, 0.054977, 0.099596, 0.058080
300000, 0.100539, 0.104791, 0.082408
400000, 0.112588, 0.124193, 0.113062
500000, 0.148775, 0.146603, 0.146989
600000, 0.176880, 0.164851, 0.175320
700000, 0.208124, 0.193447, 0.210696
800000, 0.238700, 0.209633, 0.243250
900000, 0.269259, 0.236507, 0.268226
1000000, 0.298828, 0.251641, 0.299324
0, 0.000000, 0.000517, 0.000001
100000, 0.033332, 0.086634, 0.026334
200000, 0.060074, 0.099146, 0.053454
300000, 0.090163, 0.117956, 0.083560
400000, 0.114055, 0.138825, 0.115040
500000, 0.147268, 0.147503, 0.140115
600000, 0.174664, 0.175923, 0.180722
700000, 0.211775, 0.193586, 0.209926
800000, 0.241499, 0.211992, 0.252761
900000, 0.276303, 0.234163, 0.270674
1000000, 0.300454, 0.261930, 0.312189
0, 0.000001, 0.000471, 0.000012
100000, 0.026833, 0.078920, 0.026059
200000, 0.054435, 0.098666, 0.054090
300000, 0.084761, 0.111526, 0.089089
400000, 0.119096, 0.130224, 0.117484
500000, 0.151303, 0.153584, 0.147228
600000, 0.172645, 0.168914, 0.179901
700000, 0.206346, 0.192085, 0.212583
800000, 0.237199, 0.208167, 0.234762
900000, 0.284644, 0.223869, 0.273790
1000000, 0.309699, 0.280718, 0.300931
